,Pop,Raio_medio,std_R,tm,tm_std,tp,tp_std,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
K0124,2,0.989373405987,0.451205645015,8.91669063194,0.311917147424,8.80880263386,0.0374102258346,1.50554925436,1.65641486451,2.86572037608,15.2385338971,14.551987166,5.63422290923,3.94787445946,43.8961419729,12.2795232363,28.0878326046,0.645853792989,0.72025962455,0.786629568197,0.96231884058,0.510332830703
K0124,3,0.778936444478,0.311695682687,8.91669063194,0.311917147424,8.92677780138,0.0965230966072,0.896324301617,0.518084058545,0.301993613564,0.379615720424,0.000504985225856,0.00231294205921,-0.00750176469307,33.3932980765,11.036991429,22.2151447528,0.551841290725,0.669484834841,0.684721063093,0.846376811594,0.380815054048
K0124,4,0.702889501689,0.45084487693,8.91669063194,0.311917147424,9.36819881225,0.156109956382,0.890126419686,0.570217081519,0.966100826719,3.96519726809,0.946524488688,0.899953544678,-0.257215187958,33.6442340871,9.63739934725,21.6408167172,0.572962418088,0.713549747565,0.69413566435,0.953488372093,0.798645783075
K0125,1,0.810815532067,0.308045501268,8.62222229895,0.385688407364,8.13721098944,1.42528366522e-14,0.953425605536,0.535502980089,0.539638033971,3.86673648098,0.923563958339,0.888589969357,-0.35979118646,23.9367947083,8.68097176915,16.3088832387,-0.587900759443,0.637337752404,1.35583100315,0.0,0.363561255757
K0125,2,0.685206417824,0.272942179364,8.62222229895,0.385688407364,8.40119911078,0.233493743301,0.693463114037,0.0447248817052,0.0893033102196,0.935674333514,0.0531732380461,0.0594276373069,0.000696800074329,17.4891865058,12.7635974731,15.1263919894,-0.394689237426,0.270200619744,1.24381184318,0.591715976331,0.382869092741
K0125,3,0.652270479423,0.311005568852,8.62222229895,0.385688407364,8.94628561586,0.0408200182849,0.665452890305,0.0756101767559,0.199013882845,0.625052271197,0.00287178122624,0.0369603830593,0.0421907848013,17.828739914,11.4883500524,14.6585449832,-0.367117387816,0.355627480806,1.37293201557,0.769230769231,0.456415255226
K0125,4,0.744678643778,0.31752099738,8.62222229895,0.385688407364,9.00706336912,0.0239501573343,0.835334897237,0.399281419242,0.352897871183,1.69446493839,0.287959933476,0.42157664856,0.146634749186,22.2692852388,8.29248608597,15.2808856624,-0.517488077752,0.627626751508,1.50279717342,0.0,0.411093990949
K0126,1,0.737346116207,0.246884264757,9.36362122289,0.225337816022,9.07509917205,0.156271850632,0.769373098325,0.111193896507,0.0209028782462,0.221580289567,0.000118540922687,0.00785682327315,0.00279938057294,41.0502757161,25.8085073592,33.4293915377,-0.466603886488,0.371295151885,1.30207389759,0.958115183246,0.333243680897
K0126,2,0.822758104762,0.265954648327,9.36362122289,0.225337816022,9.29579161621,0.03330651534,0.952630593522,0.393533497552,0.198284778417,0.693599685105,0.0323261320152,0.0904827432028,0.0142940241713,49.1020202702,22.2804887022,35.6912544862,-0.706236003534,0.546240896412,1.10982190783,0.605504587156,0.319036332183
K0126,3,0.630771881204,0.239318215409,9.36362122289,0.225337816022,9.45119493559,0.0446845758394,0.579898620504,0.0191979124247,0.0245042256493,0.0988486491725,-0.000419305084823,-0.00418330050746,0.00208023134784,33.1113660542,25.9516478822,29.5315069682,0.744833401058,0.216231434255,0.980820679667,0.56880733945,0.394519708237
K0126,4,0.598545156746,0.288631957833,9.36362122289,0.225337816022,9.63277730933,0.0867551050872,0.562547988642,0.0332532232295,0.00450984484091,0.244434563714,0.00216941505621,0.0156041405889,-0.00056735169339,33.715299893,24.0868224235,28.9010611583,-0.711057988057,0.285581842665,1.04922896135,0.566186107471,0.556155887881
K0127,1,0.686483171599,0.217040237303,9.54203459423,0.197761157326,9.30096991634,0.142568485495,0.659857295114,0.183110673344,0.0845040267373,0.577486805903,0.0257690116729,0.0899599364786,-0.012857024242,42.0043518583,19.3961720532,30.7002619557,0.615928249771,0.538234225858,1.24489888103,0.45869297164,0.335548626915
K0127,2,0.709490757387,0.172767944577,9.54203459423,0.197761157326,9.47260760036,0.022069446738,0.678803018301,0.177704359336,0.0178223102347,0.0654275523229,-0.00102930706334,0.0165258642417,0.000699821994611,42.2465680576,20.4270526196,31.3368103386,-0.630622057266,0.516480188597,1.21105177794,0.611590628853,0.238059529921
