,#Populacao,Conc,Exc,I1,I2,I3,I4,I5,I6,I7,M_p,M_t,Rm/re,Sim,a,b,f=a+b/2,flong,obj,std,tetha,tm,tm_std,tp,tp_std
K0175,4,0.884599625794,0.747643497956,1.35123358986,1.4147537161,4.0643027142,17.2483505106,17.4883394539,5.59362860352,-3.17225268736,46889.2689049,89773.7686885,0.833492709083,0.521276595745,30.907783631,7.79978016307,19.353781897,1.20562514094,,0.605433188699,0.679613920547,8.96542262194,0.247419729268,9.23529276979,0.15717569139
K0179,1,0.213194331538,0.208920673376,0.914411571917,0.0442933156541,0.164809701646,0.631023365359,-0.0409110714663,0.0419311449484,0.0622262646648,22505.3038653,239391.492709,0.827228941266,0.469715698393,42.6619483211,33.7489853503,38.2054668357,1.179228614,,0.18496955124,-0.390740622555,8.5615764135,0.319284900561,8.14500023358,0.144400295814
K0179,2,0.283588976964,0.325560331839,0.639084097147,0.0573416643679,0.0547319538258,0.171862517684,0.00356436003733,0.0145952470304,-0.00336974293826,36955.6863623,239391.492709,0.673819811113,0.730198019802,37.6792939644,25.4124105178,31.5458522411,1.4074329346,,0.218063188712,0.249361447791,8.5615764135,0.319284900561,8.44413691932,0.0938131271804
K0179,3,0.352746743428,0.221475716682,0.635512143417,0.0242926190899,0.0406256249874,0.153756309297,0.00302256025609,0.0146498470638,0.00510152811163,60179.1415588,239391.492709,0.665470319138,0.596534653465,35.7611357856,27.8409126081,31.8010241968,1.14056470717,,0.236518949198,-0.504204679954,8.5615764135,0.319284900561,8.71032397454,0.0763711519005
K0179,4,0.617675924903,0.2354830193,0.506514373591,0.0176432055474,0.100433142951,0.271239541495,-0.000735868152195,0.00678149191173,0.0083426472057,119751.360922,239391.492709,0.558014322908,0.908415841584,32.1430682655,24.5739215008,28.3584948831,1.15458749703,,0.293628196079,0.497564906343,8.5615764135,0.319284900561,8.94736009113,0.117576811355
K0182,1,0.239656273925,0.378313861747,0.524667988703,0.0538978548688,0.0525672606588,0.0832079186436,-0.00362282942252,0.00897989994903,-0.00087871224975,5772.20457496,29983.5688947,0.622665679324,0.658914728682,19.7616493675,12.2855434808,16.0235964241,0.686911643666,,0.158267644662,0.312509366914,8.80889670171,0.250984995825,8.55016739372,0.0699667714446
K0182,2,0.509084575316,0.745866446381,1.47492638664,1.67954114746,1.14348579312,10.7235151282,7.20732698861,4.71922752263,3.49703474927,4352.417069,29983.5688947,0.991501718082,0.961240310078,37.8124729969,9.6094181338,23.7109455653,0.682197898607,,0.421519182679,0.571318354823,8.80889670171,0.250984995825,8.68058503883,0.0311615541493
K0182,3,0.476457981372,0.432086206868,0.64045715332,0.107635824243,0.033937222518,0.0486759628229,-4.26597054227e-05,0.00484234151146,-0.000381832168448,7559.15198162,29983.5688947,0.628847456851,0.7421875,22.2685990987,12.6466445819,17.4576218403,0.702789957508,,0.323713432522,0.424110554133,8.80889670171,0.250984995825,8.80961624033,0.0891660238745
K0182,4,0.362407559073,0.790392915613,1.34386591773,1.51474516904,4.65998048816,13.7500791435,9.5306877873,4.35736417945,-5.18785405305,12221.7706023,29983.5688947,0.946787639175,0.817120622568,36.3779122484,7.62506812248,22.0014901854,0.704187097384,,0.396346745625,0.596980463997,8.80889670171,0.250984995825,9.19582905335,0.0694914045403
K0187,1,0.21128784026,0.168040376549,0.894966172688,0.0265088637747,0.0321993240131,0.28360416571,-0.00954834995202,0.000538936444748,0.000873810212511,53074.203899,445240.080778,0.811178037118,0.695304695305,46.0182438353,38.2853208131,42.1517823242,0.862423662738,,0.211977890514,0.315289101396,8.76556750065,0.556071037047,8.18899554589,0.776577653848
K0187,2,0.217022157514,0.315163980044,0.76380063493,0.0762262662136,0.0604791794247,0.79702171847,0.0184851812131,0.0710615475883,0.0235601322088,53221.0876972,445240.080778,0.75262729567,0.35964035964,45.6274385337,31.2473134062,38.43737597,1.04202131838,,0.182944607611,0.728369227362,8.76556750065,0.556071037047,8.72839739967,0.0381604280417
K0187,3,0.289515775755,0.294002648535,0.498364230096,0.0278277881572,0.0206170841435,0.0846778164756,0.000530590796151,0.00482830490458,-3.99630496969e-06,112813.496772,445240.080778,0.596805054009,0.878878878879,36.4558823669,25.7377563963,31.0968193816,0.8758066794,,0.185708480369,0.582981452413,8.76556750065,0.556071037047,8.90055533269,0.0701694750956
K0187,4,0.588165357744,0.222882703223,0.461612,0.012995063636,0.0353588622687,0.123549107198,-0.000606852149104,0.00221065955139,-0.00132982890596,225863.273572,445240.080778,0.534154889271,0.728,33.9295709689,26.3672564721,30.1484137205,1.17305708335,,0.277380283954,0.437562909271,8.76556750065,0.556071037047,9.24481180948,0.213718869746
K0204,1,0.132764381934,0.25132171438,0.975286426593,0.0754407508893,0.16101386949,0.231485191342,0.0180282765843,0.0147936903936,0.0231986394158,54670.5782565,879617.0462,0.865844494993,0.658947368421,48.7330208939,36.4853545359,42.6091877149,0.873361981647,,0.129373558284,0.536276639623,9.21642511772,0.321461772457,8.7814407433,0.111747750939
K0204,2,0.301780603307,0.254102880695,0.754402893179,0.0462425357802,0.163126707582,0.163978171193,0.000765159886796,-0.00415531162902,0.000658866985498,171232.197686,879617.0462,0.732100479249,0.95468914647,42.8952688071,31.995457435,37.445363121,1.24389768032,,0.237264576405,0.358537745519,9.21642511772,0.321461772457,9.11489950199,0.085253485908
K0204,3,0.340400437132,0.386472990374,0.517125786003,0.0548888487229,0.0761444329724,0.209978928721,0.000541773967646,0.00689727470433,0.0026622123634,250773.036111,879617.0462,0.597979497435,0.918861959958,37.764734751,23.1696847811,30.467209766,0.985868238248,,0.220034724111,-0.769689129781,9.21642511772,0.321461772457,9.36291548943,0.0707853952621
K0204,4,0.439122832598,0.265037214086,0.375816731649,0.0125895086076,0.00225054964922,0.114292853621,-0.000363549549863,0.00502210086783,-0.000211659352824,402941.234147,879617.0462,0.50093875432,0.552742616034,30.4185037819,22.3564682829,26.3874860324,1.32267641389,,0.209312788089,-0.210089880459,9.21642511772,0.321461772457,9.60731499352,0.121276071813
K0205,1,0.530200982675,0.55446157865,0.942846020761,0.397561582791,0.128575877096,0.787292574695,0.0317090474122,0.0898485542989,0.03696300862,17604.0561545,145488.692797,0.768589470816,0.852941176471,32.7092065042,14.5732082295,23.6412073669,1.0643355706,,0.389212226646,-0.738773318714,8.9072585327,0.221418730621,8.62115057776,0.0902313328331
K0205,2,0.38367859156,0.642638333516,1.06813376145,0.682626069748,0.670161737971,4.06567798927,1.11636304164,1.13200321795,0.0225595855433,21930.3935745,145488.692797,0.846958427171,0.648967551622,35.8380572093,12.8071478479,24.3226025286,0.669427422349,,0.347685378713,0.527817916082,8.9072585327,0.221418730621,8.82802971331,0.0625977656507
K0205,3,0.390794697263,0.686228744259,1.1705867509,0.923043239921,1.78259002086,7.63841229383,3.48618107691,1.90937503712,-0.418046471475,40557.1030501,145488.692797,0.877911806396,0.884955752212,38.0137772634,11.9276306274,24.9707039454,0.965917748802,,0.384630601471,0.764275231934,8.9072585327,0.221418730621,9.0173129047,0.0552505348961
