obj,#Populacao,Rm/re,std,tm,tm_std,tp,tp_std,M_t,M_p,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Exc,flong,Sim,Conc
K0890,1,0.983754541562,0.26121004893,9.30701659382,0.257184704116,8.99905919382,0.169892273654,493400.677463,32841.555365,1.3180049857,1.09747561801,0.173737261008,0.0962366808461,0.00223607180472,0.028443523245,-0.000798790532404,54.0292731615,18.2667442731,36.1480087173,-0.441285739332,0.661910234875,1.74334080252,0.764991896272,0.275294921043
K0890,2,0.65006251193,0.155734373165,9.30701659382,0.257184704116,9.22112431551,0.0453285209113,493400.677463,37416.4408991,0.569396715298,0.00901107321613,0.0141309867419,0.00916314912861,-2.5659005256e-05,0.000441776315596,4.40272021946e-05,28.6085024806,24.1774087179,26.3929555992,0.493987851121,0.154887301975,1.09638160807,0.876623376623,0.197332776103
K0890,3,0.688909082846,0.205739970922,9.30701659382,0.257184704116,9.38915261204,0.050659778119,493400.677463,50943.562391,0.658682429583,0.0778710767737,0.0570507272469,0.230378511794,-0.000895617532732,-0.0111559022309,0.00250081634115,33.9895741794,21.6264272036,27.8080006915,-0.433495803605,0.363733505767,1.32492100515,0.756493506494,0.303067901785
K0890,4,0.531080372626,0.33238837856,9.30701659382,0.257184704116,9.61923018476,0.156671349098,493400.677463,372199.118808,0.500010541407,0.10933040818,0.170512570757,0.0755272879462,-0.00183018214484,-0.00650491964817,0.000393111855231,31.9902426269,14.4447343589,23.2174884929,-0.438010656715,0.548464369985,1.57111492215,0.983766233766,0.697023227194
K0894,1,0.979697262979,0.269476790973,9.57021524417,0.289305529404,9.20687678656,0.173833089313,745316.327337,23459.3768817,1.31356702461,0.444292313466,0.695938092879,3.47558090191,-0.56560980373,1.12904902502,1.85069710242,42.774180237,24.4507948036,33.6124875203,-0.658778208991,0.428374905886,1.1363551371,0.0,0.253622980664
K0894,2,0.64074444733,0.190030720297,9.57021524417,0.289305529404,9.44697119881,0.0537765638323,745316.327337,62621.7002793,0.568284889713,0.0111571963405,0.0888585497683,0.0933551320773,0.00061146391863,0.000912592379806,0.000980222866998,24.9538607984,20.6759596499,22.8149102242,-0.0438341022978,0.171432436167,1.20601029635,0.683982683983,0.222040391038
K0894,3,0.71991008447,0.246868655057,9.57021524417,0.289305529404,9.70924822246,0.06242524002,745316.327337,136537.911431,0.74008979206,0.208968402437,0.211718050063,0.926279645297,0.0104903351715,0.117815450745,-0.0601562737914,33.1879914695,16.1345108265,24.661251148,-0.74756050967,0.51384491462,1.04784082436,0.560869565217,0.310278087819
K0894,4,0.617273415154,0.383676461559,9.57021524417,0.289305529404,9.91866516822,0.098379188802,745316.327337,522513.613989,0.673232292338,0.372046122702,0.486066470764,2.13643449681,0.291280684662,0.362725280506,-0.144315814191,34.3962127996,7.63812098065,21.0171668901,-0.590961967022,0.777937151827,1.43056062611,0.503253796095,0.747458137857
K0896,1,0.785557831416,0.324862196723,9.1212005101,0.240022249723,8.82485222403,0.220962195603,410811.914223,43586.8010141,0.919020421751,0.428909822902,0.59300668615,3.23109008574,0.664692862093,0.636316968344,0.383371011043,41.1145168886,16.8419822745,28.9782495816,0.534334270322,0.590364096455,1.42969860049,0.353817504655,0.442989210483
K0896,2,0.640506353903,0.205336812443,9.1212005101,0.240022249723,9.06787741082,0.0639558572175,410811.914223,67120.1911192,0.576489056583,0.0296624183682,0.0530013640009,0.00592948354579,-2.55908409248e-05,-1.63915399396e-05,1.39967197538e-05,28.3306279572,20.8174940102,24.5740609837,0.0978951678621,0.265194755245,1.35241804642,0.988805970149,0.26371922379
K0896,3,0.891543258759,0.353487223562,9.1212005101,0.240022249723,9.21568759803,0.0479443066601,410811.914223,81498.0187488,1.17197246046,0.871785836878,0.852758658256,2.03169469848,0.670076509453,0.78843723325,-0.0183074751648,47.5107905776,15.9822943883,31.7465424829,0.280464386217,0.66360706286,2.2685560079,0.567164179104,0.391021307394
K0896,4,0.679813682427,0.367993707166,9.1212005101,0.240022249723,9.37693769612,0.100505530746,410811.914223,218606.903341,0.761263644464,0.38216576513,0.156657137367,0.0787936182644,0.00259503588512,0.0228185671612,-0.00202215488434,38.4549122994,12.3842227765,25.4195675379,0.687737252162,0.677954725782,1.17225846405,0.832089552239,0.632250492413
K0897,1,1.03103713249,0.203148582101,8.52292387997,0.949287886985,7.22704755275,0.493876750758,417332.149791,10318.7203073,1.4053835256,0.443174390095,0.0562603975884,5.28120065111,0.693662476764,1.48473213315,-0.390229627449,47.6871520757,28.4983815177,38.0927667967,0.62594605469,0.402388687997,0.861034931484,0.936247723133,0.159434159237
K0897,2,0.704632357269,0.196253878558,8.52292387997,0.949287886985,8.18998785447,0.3757405376,417332.149791,24306.1217614,0.68084711066,0.180466659268,0.1264762832,0.0881748979836,0.000348238976823,-0.00544163004633,0.0039025288972,34.8427258361,16.7667740284,25.8047499323,-0.714881501714,0.518786959801,0.915823090847,0.371584699454,0.248829423857
K0897,3,0.74201199424,0.382905458168,8.52292387997,0.949287886985,9.16210221804,0.11174548826,417332.149791,80279.4860232,0.890243943197,0.307566313679,0.575808349459,3.51992648357,0.757246629254,0.551643941337,-0.0105086385197,39.7573217258,19.1627011903,29.460011458,-0.735268211428,0.518008247073,1.0644245768,0.340036563071,0.575398625878
K0897,4,0.591063956524,0.31043841955,8.52292387997,0.949287886985,9.51527426808,0.147164641101,417332.149791,302391.718542,0.568100990996,0.18990930743,0.126889358523,0.867898864029,0.0465581894951,0.111222161456,0.000253685174481,33.1701669908,12.0423168064,22.6062418986,-0.751410353816,0.636953386162,1.05353444329,0.288321167883,0.604869711116
K0898,1,0.831191099745,0.205506904564,8.56318538726,0.402841347649,8.01417146926,0.18053663367,442461.511355,24979.1939404,0.933177083333,0.103250304582,0.340883508996,1.75158806394,0.0147481826974,0.128267038828,0.212500920429,42.5027555584,29.6827520614,36.0927538099,-0.668481104096,0.301627584578,1.08323890954,0.458333333333,0.227863328286
K0898,2,0.726831069878,0.214794281252,8.56318538726,0.402841347649,8.45166409972,0.0961847318987,442461.511355,53425.7923157,0.731155478395,0.094375260078,0.184799939646,0.209572187374,0.0139807044241,0.05141480947,-0.0337473838496,38.6683320642,24.7080527997,31.6881924319,0.0846776519812,0.361026155493,1.55366125475,0.677777777778,0.271169798591
K0898,3,0.683714999962,0.267932146921,8.56318538726,0.402841347649,8.74507084096,0.0518874737212,442461.511355,74991.9038721,0.688255056991,0.235413991883,0.226522654452,0.240470778928,0.0426317602085,0.08688961041,0.0116201393671,41.0496527584,17.0761392619,29.0628960102,-0.0715065697259,0.5840125771,2.37010645392,0.944289693593,0.360361545299
K0898,4,0.561145684725,0.332339803262,8.56318538726,0.402841347649,9.04257886789,0.16608130245,442461.511355,288792.554074,0.542008004472,0.189954912615,0.1570574168,0.848246457057,0.0500239704554,0.10932817353,-0.00372996798164,37.4985706727,12.3560599855,24.9273153291,-0.632201114943,0.670492507745,1.28078245527,0.495132127955,0.6786099998
K0901,1,0.767678879655,0.224816110446,8.85340487141,0.457286942097,8.33317761705,0.512905605264,750101.985024,93510.5778929,0.814765100671,0.153491512324,0.164820238439,1.17170849798,0.0426583149806,0.134877869752,0.00545414374761,42.3999067613,25.1047387286,33.752322745,-0.758797608921,0.407905803426,0.974749006275,0.977181208054,0.301444057831
